AIR - Bluza z kapturem - carbon heather/anthracite/siren red;36,Mężczyźni;279.0;;;1;;;;;;;;Nike Sportswear;;;;;;;;49;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-sweatshirt1553.jpg;0;;0;0;0;0;0;0;0;0;0;0
AIR - Spodnie treningowe - carbon heather/anthracite/siren red;39,Mężczyźni;279.0;;;1;;;;;;;;Nike Sportswear;;;;;;;;22;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-trousers1685.jpg;0;;0;0;0;0;0;0;0;0;0;0
ALAN - Marynarka garniturowa - dark blue;40,Mężczyźni;1179.0;;;1;;;;;;;;HUGO;;;;;;;;65;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-suit1498.jpg;0;;0;0;0;0;0;0;0;0;0;0
ALASKA - Kurtka zimowa - black;34,Mężczyźni;459.0;;;1;;;;;;;;Burton Menswear London;;;;;;;;54;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-jackets1103.jpg;0;;0;0;0;0;0;0;0;0;0;0
ALEXIA - Jeans Skinny Fit - mid blue denim;47,Kobiety;129.0;;;1;;;;;;;;Bik Bok;;;;;;;;25;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jeans248.jpg;0;;0;0;0;0;0;0;0;0;0;0
ALLEGRA SORAYA - Kurtka przejściowa - black beauty;44,Kobiety;179.0;;;1;;;;;;;;Vero Moda;;;;;;;;34;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jackets139.jpg;0;;0;0;0;0;0;0;0;0;0;0
ALL TEE DOT - T-shirt z nadrukiem - grey;43,Kobiety;149.0;;;1;;;;;;;;The North Face;;;;;;;;27;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-tshirt762.jpg;0;;0;0;0;0;0;0;0;0;0;0
ALSACE - Kurtka zimowa - blu marine;34,Mężczyźni;2099.0;;;1;;;;;;;;Napapijri;;;;;;;;51;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-jackets1162.jpg;0;;0;0;0;0;0;0;0;0;0;0
APPELL - Krawat - petrol;40,Mężczyźni;339.0;;;1;;70;;;;;;Tiger of Sweden;;;;;;;;43;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-suit1448.jpg;0;;0;0;0;0;0;0;0;0;0;0
APPLIQUE - Spódnica mini - black;50,Kobiety;129.0;;;1;;36;;;;;;Missguided;;;;;;;;21;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-skirt499.jpg;0;;0;0;0;0;0;0;0;0;0;0
ARCHIVE TRACK - Spodnie treningowe - olive night;39,Mężczyźni;229.0;;;1;;;;;;;;Puma;;;;;;;;47;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-trousers1728.jpg;0;;0;0;0;0;0;0;0;0;0;0
ARCH FLAG - Bluza z kapturem - charcoal heather;36,Mężczyźni;169.0;;;1;;;;;;;;GAP;;;;;;;;38;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-sweatshirt1609.jpg;0;;0;0;0;0;0;0;0;0;0;0
ARC 3D SLIM - Jeansy Slim fit - blue;38,brak;639.0;;;1;;;;;;;;G-Star;;;;;;;;62;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-jeans1303.jpg;0;;0;0;0;0;0;0;0;0;0;0
ARNSIDE - Kurtka z polaru - black;41,Mężczyźni;211.65;;;1;;;;;;;;Berghaus;;;;;;;;62;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-sport1088.jpg;0;;0;0;0;0;0;0;0;0;0;0
ATNA HYBRID JACKET - Kurtka Outdoor - black;41,Mężczyźni;1049.0;;;1;;;;;;;;J.LINDEBERG;;;;;;;;34;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-sport1067.jpg;0;;0;0;0;0;0;0;0;0;0;0
ATOMIC - Sukienka etui - black /creme;49,Kobiety;229.0;;;1;;;;;;;;Love Triangle;;;;;;;;88;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-dress13.jpg;0;;0;0;0;0;0;0;0;0;0;0
AVERY - Kurtka Bomber - black;34,Mężczyźni;189.0;;;1;;;;;;;;Tiffosi;;;;;;;;99;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-jackets1155.jpg;0;;0;0;0;0;0;0;0;0;0;0
AYVAN OFF SHOULDER - Sukienka dzianinowa - stone;49,Kobiety;129.0;;;1;;;;;;;;Missguided;;;;;;;;96;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-dress30.jpg;0;;0;0;0;0;0;0;0;0;0;0
BACK2BASICS - Dres - conavy/trablu/white;41,Mężczyźni;249.0;;;1;;;;;;;;adidas Performance;;;;;;;;90;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/man-sport1082.jpg;0;;0;0;0;0;0;0;0;0;0;0
