ID kategorii;Active (0/1);Nazwa;Nazwa nadrzędnej;Root category (0/1);Opis;Meta title;Meta keywords;Meta description;przyjazny URL;URL obrazka
10;0;Koszulki;Mężczyźni;0;;;;;koszulki;
11;0;Kurtki;Mężczyźni;0;;;;;kurtki;
12;0;Płaszcze;Mężczyźni;0;;;;;plaszcze;
13;0;Bluzy i swetry;Mężczyźni;0;;;;;bluzyswetry;
14;0;Koszule;Mężczyźni;0;;;;;koszule;
15;0;Jeansy;Mężczyźni;0;;;;;jeansy;
16;0;Spodnie;Mężczyźni;0;;;;;spodnie;
17;0;Garnitury;Mężczyźni;0;;;;;garnitury;
18;0;Odzież sportowa;Mężczyźni;0;;;;;sportowa;
19;0;Koszulki;Kobiety;0;;;;;koszulki;
20;0;Kurtki;Kobiety;0;;;;;kurtki;
21;0;Bluzki i koszule;Kobiety;0;;;;;bluzkikoszule;
22;0;Swetry;Kobiety;0;;;;;swetry;
23;0;Jeansy;Kobiety;0;;;;;jeansy;
24;0;Spodnie;Kobiety;0;;;;;spodnie;
25;0;Sukienki;Kobiety;0;;;;;sukienki;
26;0;Spódniczki;Kobiety;0;;;;;spodniczki;
27;0;Odzież sportowa;Kobiety;0;;;;;sportowa;
